,AAPL,BB,DKNG,GME,META,PARA,TSLA,WISH
AAPL,0.00045464955440052945,0.00033015160987248703,0.00024415338252989675,0.0002702706103851236,0.00015125547035788563,0.00021116815387975892,0.00040719816301839983,0.00022144197051910978
BB,0.00033015160987248703,0.002191596960655254,0.0003897014672865017,0.002056059402443631,0.0003084937062363492,0.0005638773921753709,0.00048688626183710496,0.0012701852413078106
DKNG,0.00024415338252989675,0.0003897014672865017,0.0017522871702054057,0.0005252195821480171,0.0003557290579009613,0.0004003525701585381,0.0004945023444042771,0.0010456971866030756
GME,0.0002702706103851236,0.002056059402443631,0.0005252195821480171,0.011689511536241703,0.0003147726246834664,0.000973680260002772,0.0005318336840832374,0.0017985757378220747
META,0.00015125547035788563,0.0003084937062363492,0.0003557290579009613,0.0003147726246834664,0.0002820771099619397,0.0001439215666569171,0.00027628351159289955,0.0004992818196324583
PARA,0.00021116815387975892,0.0005638773921753709,0.0004003525701585381,0.000973680260002772,0.0001439215666569171,0.001255268182841196,0.00034127001781624367,0.0004675426723028139
TSLA,0.00040719816301839983,0.00048688626183710496,0.0004945023444042771,0.0005318336840832374,0.00027628351159289955,0.00034127001781624367,0.0018076719088602497,0.0007219818000421846
WISH,0.00022144197051910978,0.0012701852413078106,0.0010456971866030756,0.0017985757378220747,0.0004992818196324583,0.0004675426723028139,0.0007219818000421846,0.004226527769746681
