,0
AAPL,0.00025826244762381344
BB,0.00013016770467718432
DKNG,0.000208535193384632
GME,0.0009676931785030244
META,-3.324264063065136e-05
PARA,5.8876065675465686e-05
TSLA,0.000509223724295817
WISH,-0.00026500072315534815
